Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
AMP00349,AMP00349,http://www.linear.com/docs/2498,,,Digikey,LT1793IS8#PBF-ND,LT1793IS8#PBF,LT1793IS8#PBF,Linear Technology,IC OPAMP JFET 4.2MHZ 8SO,J-FET,1,-,3.4 V/µs,4.2MHz,-,4pA,250µV,4.2mA,-,±4.5 V ~ 20 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00350,AMP00350,http://www.analog.com/media/en/technical-documentation/data-sheets/OP285.pdf,,,Digikey,OP285GS-REEL7CT-ND,OP285GS-REEL7,OP285GS-REEL7,Analog Devices Inc,IC OPAMP GP 9MHZ 8SOIC,General Purpose,2,-,22 V/µs,9MHz,-,100nA,35µV,4mA,-,"9 V ~ 44 V, ±4.5 V ~ 22 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00351,AMP00351,http://www.linear.com/docs/2498,,,Digikey,LT1793IS8-ND,LT1793IS8,LT1793IS8,Linear Technology,IC OPAMP JFET 4.2MHZ 8SO,J-FET,1,-,3.4 V/µs,4.2MHz,-,4pA,250µV,4.2mA,-,±4.5 V ~ 20 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00352,AMP00352,http://www.linear.com/docs/9198,,,Digikey,LTC6079HGN#PBF-ND,LTC6079HGN#PBF,LTC6079HGN#PBF,Linear Technology,IC OPAMP GP 750KHZ RRO 16SSOP,General Purpose,4,Rail-to-Rail,0.05 V/µs,750kHz,-,0.2pA,10µV,55µA,25mA,2.7 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""16-SSOP (0.154"""", 3.90mm Width)""",16-SSOP
AMP00353,AMP00353,http://www.analog.com/media/en/technical-documentation/data-sheets/AD623.pdf,,,Digikey,AD623BRZ-RLCT-ND,AD623BRZ-RL,AD623BRZ-RL,Analog Devices Inc,IC OPAMP INSTR 800KHZ RRO 8SOIC,Instrumentation,1,Rail-to-Rail,0.3 V/µs,-,800kHz,17nA,25µV,375µA,-,"2.7 V ~ 12 V, ± 2.7 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00354,AMP00354,http://www.linear.com/docs/9198,,,Digikey,LTC6079HGN-ND,LTC6079HGN,LTC6079HGN,Linear Technology,IC OPAMP GP 750KHZ RRO 16SSOP,General Purpose,4,Rail-to-Rail,0.05 V/µs,750kHz,-,0.2pA,10µV,55µA,25mA,2.7 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""16-SSOP (0.154"""", 3.90mm Width)""",16-SSOP
AMP00355,AMP00355,http://www.linear.com/docs/9198,,,Digikey,LTC6079IGN-ND,LTC6079IGN,LTC6079IGN,Linear Technology,IC OPAMP GP 750KHZ RRO 16SSOP,General Purpose,4,Rail-to-Rail,0.05 V/µs,750kHz,-,0.2pA,10µV,55µA,25mA,2.7 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"""16-SSOP (0.154"""", 3.90mm Width)""",16-SSOP
AMP00356,AMP00356,http://www.linear.com/docs/9198,,,Digikey,LTC6079IDHC-ND,LTC6079IDHC,LTC6079IDHC,Linear Technology,IC OPAMP GP 750KHZ RRO 16DFN,General Purpose,4,Rail-to-Rail,0.05 V/µs,750kHz,-,0.2pA,10µV,55µA,25mA,2.7 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-WFDFN Exposed Pad,16-DFN-EP (5x3)
AMP00357,AMP00357,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8663_8667_8669.pdf,,,Digikey,AD8669ARZ-REEL7CT-ND,AD8669ARZ-REEL7,AD8669ARZ-REEL7,Analog Devices Inc,IC OPAMP GP 540KHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,0.3 V/µs,540kHz,-,0.3pA,40µV,230µA,50mA,"5 V ~ 16 V, ±2.5 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00358,AMP00358,http://www.linear.com/docs/2333,,,Digikey,LT6234IDD-ND,LT6234IDD,LT6234IDD,Linear Technology,IC OPAMP GP 60MHZ RRO 8DFN,General Purpose,2,Rail-to-Rail,17 V/µs,60MHz,-,1.5µA,75µV,1.15mA,55mA,"3 V ~ 12.6 V, ±1.5 V ~ 6.3 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
AMP00359,AMP00359,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8628_8629_8630.pdf,,,Digikey,AD8630ARZ-REELCT-ND,AD8630ARZ-REEL,AD8630ARZ-REEL,Analog Devices Inc,IC OPAMP ZRO-DRFT 2.5MHZ 14SOIC,Zero-Drift,4,Rail-to-Rail,1 V/µs,2.5MHz,2.5MHz,100pA,1µV,850µA,30mA,"2.7 V ~ 5 V, ±1.35 V ~ 2.5 V",-40°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00360,AMP00360,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4004-1_4004-2_4004-4.pdf,,,Digikey,ADA4004-2ARMZ-RLCT-ND,ADA4004-2ARMZ-RL,ADA4004-2ARMZ-RL,Analog Devices Inc,IC OPAMP GP 12MHZ 8MSOP,General Purpose,2,-,2.7 V/µs,12MHz,-,40nA,40µV,2.2mA,10mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00361,AMP00361,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4004-1_4004-2_4004-4.pdf,,,Digikey,ADA4004-2ARZ-RLCT-ND,ADA4004-2ARZ-RL,ADA4004-2ARZ-RL,Analog Devices Inc,IC OPAMP GP 12MHZ 8SOIC,General Purpose,2,-,2.7 V/µs,12MHz,-,40nA,40µV,2.2mA,10mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00362,AMP00362,http://www.linear.com/docs/1770,,,Digikey,LTC1050HS8#PBF-ND,LTC1050HS8#PBF,LTC1050HS8#PBF,Linear Technology,IC OPAMP CHOPPER 2.5MHZ 8SO,Chopper (Zero-Drift),1,-,4 V/µs,2.5MHz,-,10pA,0.5µV,1mA,-,"4.75 V ~ 16 V, ±2.38 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00363,AMP00363,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8223.pdf,,,Digikey,AD8223ARM-ND,AD8223ARM,AD8223ARM,Analog Devices Inc,IC OPAMP INSTR 200KHZ RRO 8MSOP,Instrumentation,1,Rail-to-Rail,0.3 V/µs,-,200kHz,12nA,250µV,650µA,-,"3 V ~ 24 V, ±2 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00364,AMP00364,http://www.analog.com/media/en/technical-documentation/data-sheets/OP42.pdf,,,Digikey,OP42GSZ-RLCT-ND,OP42GSZ-RL,OP42GSZ-RL,Analog Devices Inc,IC OPAMP JFET 10MHZ 8SOIC,J-FET,1,-,50 V/µs,10MHz,-,130pA,1.5mV,5.1mA,33mA,±8 V ~ 20 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00365,AMP00365,http://www.linear.com/docs/1770,,,Digikey,LTC1050HS8-ND,LTC1050HS8,LTC1050HS8,Linear Technology,IC OPAMP CHOPPER 2.5MHZ 8SO,Chopper (Zero-Drift),1,-,4 V/µs,2.5MHz,-,10pA,0.5µV,1mA,-,"4.75 V ~ 16 V, ±2.38 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00366,AMP00366,http://www.linear.com/docs/1909,,,Digikey,LT1920IS8-ND,LT1920IS8,LT1920IS8,Linear Technology,IC OPAMP INSTR 1MHZ 8SO,Instrumentation,1,-,1.2 V/µs,1MHz,-,500pA,30µV,900µA,27mA,"4.6 V ~ 36 V, ±2.3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00367,AMP00367,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8002.pdf,,,Digikey,AD8002ARMZ-REEL7CT-ND,AD8002ARMZ-REEL7,AD8002ARMZ-REEL7,Analog Devices Inc,IC OPAMP CFA 600MHZ 8MSOP,Current Feedback,2,-,1200 V/µs,-,600MHz,5µA,2mV,10mA,70mA,±3 V ~ 6 V,-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00368,AMP00368,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8476.pdf,,,Digikey,AD8476BRMZ-R7CT-ND,AD8476BRMZ-R7,AD8476BRMZ-R7,Analog Devices Inc,IC OPAMP DIFF 5MHZ RRO 8MSOP,Differential,1,"Differential, Rail-to-Rail",10 V/µs,-,5MHz,-,-,330µA,35mA,"3 V ~ 18 V, ±1.5 V ~ 9 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP00369,AMP00369,http://www.linear.com/docs/3582,,,Digikey,LT6014AIDD#PBF-ND,LT6014AIDD#PBF,LT6014AIDD#PBF,Linear Technology,IC OPAMP GP 1.6MHZ RRO 8DFN,General Purpose,2,Rail-to-Rail,0.2 V/µs,1.6MHz,-,100pA,35µV,200µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
AMP00370,AMP00370,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4092-4.pdf,,,Digikey,ADA4092-4ARUZ-RLCT-ND,ADA4092-4ARUZ-RL,ADA4092-4ARUZ-RL,Analog Devices Inc,IC OPAMP GP 1.4MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,0.4 V/µs,1.4MHz,-,50nA,200µV,200µA,20mA,"2.7 V ~ 30 V, ±1.35 V ~ 15 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00371,AMP00371,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8638_8639.pdf,,,Digikey,AD8639WARZ-RLCT-ND,AD8639WARZ-RL,AD8639WARZ-RL,Analog Devices Inc,IC OPAMP AUTO-ZERO 1.5MHZ 8SOIC,Auto-Zero,2,Rail-to-Rail,2 V/µs,1.5MHz,-,1pA,3µV,1.25mA,37mA,"5 V ~ 16 V, ±2.5 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00372,AMP00372,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8475.pdf,,,Digikey,AD8475BRMZ-RLCT-ND,AD8475BRMZ-RL,AD8475BRMZ-RL,Analog Devices Inc,IC OPAMP DIFF 150MHZ RRO 10MSOP,Differential,1,"Differential, Rail-to-Rail",50 V/µs,-,150MHz,-,-,3mA,110mA,"3 V ~ 10 V, ±1.5 V ~ 5 V",-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-MSOP
AMP00373,AMP00373,http://www.linear.com/docs/2626,,,Digikey,LT6011AIDD-ND,LT6011AIDD,LT6011AIDD,Linear Technology,IC OPAMP GP 350KHZ RRO 8DFN,General Purpose,2,Rail-to-Rail,0.11 V/µs,350kHz,-,20pA,35µV,260µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
AMP00374,AMP00374,http://www.linear.com/docs/3582,,,Digikey,LT6014AIDD-ND,LT6014AIDD,LT6014AIDD,Linear Technology,IC OPAMP GP 1.6MHZ RRO 8DFN,General Purpose,2,Rail-to-Rail,0.2 V/µs,1.6MHz,-,100pA,35µV,200µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
AMP00375,AMP00375,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4096-2_4096-4.pdf,,,Digikey,ADA4096-4ARUZ-RLCT-ND,ADA4096-4ARUZ-RL,ADA4096-4ARUZ-RL,Analog Devices Inc,IC OPAMP GP 786KHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,0.4 V/µs,786kHz,1.52MHz,3nA,35µV,60µA,10mA,"3 V ~ 30 V, ±1.5 V ~ 15 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP00376,AMP00376,http://www.analog.com/media/en/technical-documentation/data-sheets/OP184_284_484.pdf,,,Digikey,OP184ES-REEL7CT-ND,OP184ES-REEL7,OP184ES-REEL7,Analog Devices Inc,IC OPAMP GP 4.25MHZ RRO 8SOIC,General Purpose,1,Rail-to-Rail,4 V/µs,4.25MHz,-,80nA,100µV,2.25mA,10mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00377,AMP00377,http://www.linear.com/docs/2696,,,Digikey,LT1495IS8-ND,LT1495IS8,LT1495IS8,Linear Technology,IC OPAMP GP 2.7KHZ RRO 8SO,General Purpose,2,Rail-to-Rail,0.001 V/µs,2.7kHz,-,25pA,200µV,1.4µA,1.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00378,AMP00378,http://www.linear.com/docs/3686,,,Digikey,LT1673IS8-ND,LT1673IS8,LT1673IS8,Linear Technology,IC OPAMP GP 12KHZ RRO 8SO,General Purpose,2,Rail-to-Rail,0.005 V/µs,12kHz,-,25pA,200µV,1.9µA,1.5mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP00379,AMP00379,http://www.analog.com/media/en/technical-documentation/data-sheets/SSM2135.pdf,,,Digikey,SSM2135S-REELCT-ND,SSM2135S-REEL,SSM2135S-REEL,Analog Devices Inc,IC OPAMP AUDIO 3.5MHZ 8SOIC,Audio,1,-,0.9 V/µs,3.5MHz,-,300nA,200µV,3.7mA,30mA,"4 V ~ 36 V, ±2 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00380,AMP00380,http://www.analog.com/media/en/technical-documentation/data-sheets/AD823A.pdf,,,Digikey,AD823AARZ-RLCT-ND,AD823AARZ-RL,AD823AARZ-RL,Analog Devices Inc,IC OPAMP JFET 19MHZ RRO 8SOIC,J-FET,2,Rail-to-Rail,35 V/µs,-,19MHz,1.3pA,700µV,6.3mA,44mA,"3 V ~ 36 V, ±1.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00381,AMP00381,http://www.ti.com/lit/ds/symlink/tlv2370.pdf,,,Digikey,296-11623-1-ND,TLV2372IDGKR,TLV2372IDGKR,Texas Instruments,IC OPAMP GP 3MHZ RRO 8VSSOP,General Purpose,2,Rail-to-Rail,2.1 V/µs,3MHz,-,1pA,2mV,750µA,16mA,"2.7 V ~ 16 V, ±1.35 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP00382,AMP00382,http://www.ti.com/lit/ds/symlink/lmh6645.pdf,,,Digikey,LMH6645MF/NOPBCT-ND,LMH6645MF/NOPB,LMH6645MF/NOPB,Texas Instruments,IC OPAMP VFB 55MHZ RRO SOT23-5,Voltage Feedback,1,"Push-Pull, Rail-to-Rail",22 V/µs,-,55MHz,650nA,1mV,725µA,20mA,"2.5 V ~ 12 V, ±1.25 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00383,AMP00383,http://www.ti.com/lit/ds/symlink/lmv841.pdf,,,Digikey,LMV841MG/NOPBCT-ND,LMV841MG/NOPB,LMV841MG/NOPB,Texas Instruments,IC OPAMP GP 4.5MHZ RRO SC70-5,General Purpose,1,Rail-to-Rail,2.5 V/µs,4.5MHz,-,0.3pA,50µV,1.03mA,37mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"5-TSSOP, SC-70-5, SOT-353",SC-70-5
AMP00384,AMP00384,http://www.ti.com/lit/ds/symlink/lmh6642.pdf,,,Digikey,LMH6643MM/NOPBCT-ND,LMH6643MM/NOPB,LMH6643MM/NOPB,Texas Instruments,IC OPAMP VFB 130MHZ RRO 8VSSOP,Voltage Feedback,2,Rail-to-Rail,135 V/µs,-,130MHz,1.6µA,1mV,2.7mA,75mA,"2.7 V ~ 12.8 V, ±1.35 V ~ 6.4 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP00385,AMP00385,http://www.ti.com/lit/ds/symlink/lmh6642.pdf,,,Digikey,LMH6643MAX/NOPBCT-ND,LMH6643MAX/NOPB,LMH6643MAX/NOPB,Texas Instruments,IC OPAMP VFB 130MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,135 V/µs,-,130MHz,1.6µA,1mV,2.7mA,75mA,"2.7 V ~ 12.8 V, ±1.35 V ~ 6.4 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00386,AMP00386,http://www.ti.com/lit/ds/symlink/lmh6642.pdf,,,Digikey,LMH6643MMX/NOPBCT-ND,LMH6643MMX/NOPB,LMH6643MMX/NOPB,Texas Instruments,IC OPAMP VFB 130MHZ RRO 8VSSOP,Voltage Feedback,2,Rail-to-Rail,135 V/µs,-,130MHz,1.6µA,1mV,2.7mA,75mA,"2.7 V ~ 12.8 V, ±1.35 V ~ 6.4 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP00387,AMP00387,http://www.ti.com/lit/ds/symlink/lm321.pdf,,,Digikey,LM321MFCT-ND,LM321MF,LM321MF,Texas Instruments,IC OPAMP GP 1MHZ SOT23-5,General Purpose,1,-,0.4 V/µs,1MHz,-,45nA,2mV,660µA,40mA,"3 V ~ 30 V, ±1.5 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00388,AMP00388,http://www.ti.com/lit/ds/symlink/tlv2450a.pdf,,,Digikey,296-10576-1-ND,TLV2451IDBVR,TLV2451IDBVR,Texas Instruments,IC OPAMP GP 220KHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,0.11 V/µs,220kHz,-,500pA,300µV,23µA,10mA,"2.7 V ~ 6 V, ±1.35 V ~ 3 V",-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00389,AMP00389,http://www.ti.com/lit/ds/symlink/tlv2460a.pdf,,,Digikey,296-7490-1-ND,TLV2461IDBVR,TLV2461IDBVR,Texas Instruments,IC OPAMP GP 6.4MHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,1.6 V/µs,6.4MHz,-,1.3nA,500µV,550µA,80mA,"2.7 V ~ 6 V, ±1.35 V ~ 3 V",-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00390,AMP00390,http://www.ti.com/lit/ds/symlink/tlv2381.pdf,,,Digikey,296-26788-1-ND,TLV2381IDBVR,TLV2381IDBVR,Texas Instruments,IC OPAMP GP 160KHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,0.06 V/µs,160kHz,-,1pA,500µV,7µA,400µA,"2.7 V ~ 16 V, ±1.35 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00391,AMP00391,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8531_8532_8534.pdf,,,Digikey,AD8534ARZ-REELCT-ND,AD8534ARZ-REEL,AD8534ARZ-REEL,Analog Devices Inc,IC OPAMP GP 3MHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,5 V/µs,3MHz,-,5pA,25mV,750µA,250mA,"2.7 V ~ 6 V, ±1.35 V ~ 3 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP00392,AMP00392,http://www.ti.com/lit/ds/symlink/lmc6482.pdf,,,Digikey,LMC6482AIMX/NOPBCT-ND,LMC6482AIMX/NOPB,LMC6482AIMX/NOPB,Texas Instruments,IC OPAMP GP 1.5MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,1 V/µs,1.5MHz,-,0.02pA,1.35mV,1.3mA,30mA,"3 V ~ 15.5 V, ±1.5 V ~ 7.75 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00393,AMP00393,http://www.ti.com/lit/ds/symlink/opa2337.pdf,,,Digikey,OPA2337EACT-ND,OPA2337EA/250,OPA2337EA/250,Texas Instruments,IC OPAMP GP 3MHZ RRO SOT23-8,General Purpose,2,Rail-to-Rail,1.2 V/µs,3MHz,-,0.2pA,500µV,525µA,9mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 85°C,Surface Mount,SOT-23-8,SOT-23-8
AMP00394,AMP00394,http://www.ti.com/lit/ds/symlink/opa2355.pdf,,,Digikey,296-14628-1-ND,OPA355NA/3K,OPA355NA/3K,Texas Instruments,IC 200MHZ OP AMP VFB HS SOT23-6,CMOS,1,Rail-to-Rail,360 V/µs,200MHz,450MHz,3pA,2mV,8.3mA,100mA,2.7 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,SOT-23-6,SOT-23-6
AMP00395,AMP00395,http://www.ti.com/lit/ds/symlink/opa330.pdf,,,Digikey,296-25615-1-ND,OPA330AIDCKR,OPA330AIDCKR,Texas Instruments,IC OPAMP CHOPPER 350KHZ SC70-5,Zero-Drift,1,Rail-to-Rail,0.16 V/µs,350kHz,-,200pA,8µV,21µA,5mA,"1.8 V ~ 5.5 V, ±0.9 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"5-TSSOP, SC-70-5, SOT-353",SC-70-5
AMP00396,AMP00396,http://www.ti.com/lit/ds/symlink/lmv751.pdf,,,Digikey,LMV751M5/NOPBCT-ND,LMV751M5/NOPB,LMV751M5/NOPB,Texas Instruments,IC OPAMP GP 5MHZ SOT23-5,General Purpose,1,-,2.3 V/µs,5MHz,-,1.5pA,50µV,600µA,20mA,2.7 V ~ 5 V,-40°C ~ 85°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00397,AMP00397,http://www.ti.com/lit/ds/symlink/lmv324.pdf,,,Digikey,296-13455-1-ND,LMV358IDGKR,LMV358IDGKR,Texas Instruments,IC OPAMP GP 1MHZ RRO 8VSSOP,General Purpose,2,Rail-to-Rail,1 V/µs,1MHz,-,15nA,1.7mV,210µA,160mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP00398,AMP00398,http://www.ti.com/lit/ds/symlink/mc33078.pdf,,,Digikey,296-17723-1-ND,MC33078DR,MC33078DR,Texas Instruments,IC OPAMP GP 16MHZ 8SOIC,General Purpose,2,-,7 V/µs,16MHz,-,300nA,150µV,2.05mA,37mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00399,AMP00399,http://www.ti.com/lit/ds/symlink/opa4342.pdf,,,Digikey,OPA342NACT-ND,OPA342NA/250,OPA342NA/250,Texas Instruments,IC OPAMP GP 1MHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,1 V/µs,1MHz,-,0.2pA,1mV,150µA,15mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 85°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00400,AMP00400,http://www.ti.com/lit/ds/symlink/lmv841.pdf,,,Digikey,LMV841QMG/NOPBCT-ND,LMV841QMG/NOPB,LMV841QMG/NOPB,Texas Instruments,IC OPAMP GP 4.5MHZ RRO SC70-5,General Purpose,1,Rail-to-Rail,2.5 V/µs,4.5MHz,-,0.3pA,50µV,1.03mA,37mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"5-TSSOP, SC-70-5, SOT-353",SC-70-5
AMP00401,AMP00401,http://www.ti.com/lit/ds/symlink/tlc2262a.pdf,,,Digikey,296-26732-1-ND,TLC2262AIDR,TLC2262AIDR,Texas Instruments,IC OPAMP GP 730KHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,0.55 V/µs,730kHz,-,1pA,300µV,425µA,50mA,"4.4 V ~ 16 V, ±2.2 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP00402,AMP00402,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4830-1_4830-2.pdf,,,Digikey,ADA4830-1BCPZ-R7CT-ND,ADA4830-1BCPZ-R7,ADA4830-1BCPZ-R7,Analog Devices Inc,IC OPAMP DIFF 84MHZ 8LFCSP,Differential,1,-,250 V/µs,-,84MHz,-,-,6.8mA,125mA,2.9 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"8-WFDFN Exposed Pad, CSP",8-LFCSP (3x3)
AMP00403,AMP00403,http://www.ti.com/lit/ds/symlink/lmp7715.pdf,,,Digikey,LMP7715MF/NOPBCT-ND,LMP7715MF/NOPB,LMP7715MF/NOPB,Texas Instruments,IC OPAMP GP 17MHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,11.5 V/µs,17MHz,-,0.1pA,10µV,1.15mA,66mA,1.8 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP00404,AMP00404,http://www.ti.com/lit/ds/symlink/opa2373.pdf,,,Digikey,296-15765-1-ND,OPA374AIDBVT,OPA374AIDBVT,Texas Instruments,IC OPAMP GP 6.5MHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,5 V/µs,6.5MHz,-,0.5pA,1mV,585µA,-,"2.3 V ~ 5.5 V, ±1.15 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
