Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
AMP04791,AMP04791,http://www.ti.com/lit/ds/symlink/opa2703.pdf,,,Digikey,296-29491-1-ND,OPA2703EA/2K5,OPA2703EA/2K5,Texas Instruments,IC OPAMP GP 1MHZ RRO 8VSSOP,General Purpose,2,Rail-to-Rail,0.6 V/µs,1MHz,-,1pA,160µV,160µA,10mA,"4 V ~ 12 V, ±2 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
AMP04792,AMP04792,http://www.ti.com/lit/ds/symlink/opa703.pdf,,,Digikey,296-38193-1-ND,OPA2704UA/2K5,OPA2704UA/2K5,Texas Instruments,IC OPAMP GP 3MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,3 V/µs,3MHz,-,1pA,160µV,160µA,10mA,"4 V ~ 12 V, ±2 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP04793,AMP04793,http://www.ti.com/lit/ds/symlink/lmh6619-q1.pdf,,,Digikey,296-39782-5-ND,LMH6619QMAK/NOPB,LMH6619QMAK/NOPB,Texas Instruments,IC OPAMP VFB 58MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,57 V/µs,58MHz,140MHz,1.5µA,100µV,1.3mA,35mA,"2.7 V ~ 11 V, ±1.35 V ~ 5.5 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP04794,AMP04794,http://www.ti.com/lit/ds/symlink/opa1644.pdf,,,Digikey,296-28204-5-ND,OPA1644AIPW,OPA1644AIPW,Texas Instruments,IC OPAMP AUDIO 11MHZ RRO 14TSSOP,Audio,4,Rail-to-Rail,20 V/µs,11MHz,-,2pA,1mV,1.8mA,36mA,"4.5 V ~ 36 V, ±2.25 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP04795,AMP04795,http://www.ti.com/lit/ds/symlink/ths4012.pdf,,,Digikey,296-7510-1-ND,THS4011IDGNR,THS4011IDGNR,Texas Instruments,IC OPAMP VFB 290MHZ 8MSOP,Voltage Feedback,1,-,310 V/µs,290MHz,290MHz,2µA,1mV,7.8mA,110mA,"9 V ~ 32 V, ±4.5 V ~ 16 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04796,AMP04796,http://www.ti.com/lit/ds/symlink/opa2683.pdf,,,Digikey,296-21392-1-ND,OPA2683IDGST,OPA2683IDGST,Texas Instruments,IC OPAMP CFA 1.44GHZ 10VSSOP,Current Feedback,2,-,540 V/µs,1.44GHz,200MHz,3µA,1.5mV,1.88mA,150mA,"5 V ~ 12 V, ±2.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-VSSOP
AMP04797,AMP04797,http://www.ti.com/lit/ds/symlink/tl031.pdf,,,Digikey,296-7153-5-ND,TL034AID,TL034AID,Texas Instruments,IC OPAMP JFET 1.1MHZ 14SOIC,J-FET,4,-,5.1 V/µs,1.1MHz,-,2pA,580µV,870µA,40mA,"10 V ~ 30 V, ±5 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04798,AMP04798,http://www.ti.com/lit/ds/symlink/ths4042.pdf,,,Digikey,296-10033-1-ND,THS4041IDGNR,THS4041IDGNR,Texas Instruments,IC OPAMP VFB 165MHZ 8MSOP,Voltage Feedback,1,-,400 V/µs,-,165MHz,2.5µA,2.5mV,8mA,100mA,"9 V ~ 32 V, ±4.5 V ~ 16 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04799,AMP04799,http://www.ti.com/lit/ds/symlink/opa1632.pdf,,,Digikey,OPA1632DGNG4-ND,OPA1632DGNG4,OPA1632DGNG4,Texas Instruments,IC OPAMP AUDIO 180MHZ 8MSOP,Audio,1,Differential,50 V/µs,-,180MHz,2µA,500µV,14mA,85mA,"5 V ~ 32 V, ±2.5 V ~ 16 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04800,AMP04800,http://www.ti.com/lit/ds/symlink/ths4082.pdf,,,Digikey,296-7553-1-ND,THS4082IDGNR,THS4082IDGNR,Texas Instruments,IC OPAMP VFB 175MHZ 8MSOP,Voltage Feedback,2,-,230 V/µs,-,175MHz,1.2µA,1mV,3.4mA,85mA,"10 V ~ 30 V, ±5 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04801,AMP04801,http://www.ti.com/lit/ds/symlink/tlv2774-ep.pdf,,,Digikey,296-23475-1-ND,TLV2774MDREP,TLV2774MDREP,Texas Instruments,IC OPAMP GP 5.1MHZ RRO 14SOIC,General Purpose,4,Rail-to-Rail,10.5 V/µs,5.1MHz,-,2pA,360µV,1mA,50mA,"2.5 V ~ 5.5 V, ±1.25 V ~ 2.75 V",-55°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04802,AMP04802,http://www.ti.com/lit/ds/symlink/lmh6732.pdf,,,Digikey,LMH6732MF/NOPBCT-ND,LMH6732MF/NOPB,LMH6732MF/NOPB,Texas Instruments,IC OPAMP CFA 540MHZ SOT23-6,Current Feedback,1,-,2700 V/µs,-,540MHz,2µA,3mV,9mA,115mA,"9 V ~ 12 V, ±4.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,SOT-23-6,SOT-23-6
AMP04803,AMP04803,http://www.ti.com/lit/ds/symlink/ths4062.pdf,,,Digikey,296-7546-1-ND,THS4062IDGNR,THS4062IDGNR,Texas Instruments,IC OPAMP VFB 180MHZ 8MSOP,Voltage Feedback,2,-,400 V/µs,-,180MHz,3µA,2.5mV,7.8mA,115mA,"9 V ~ 33 V, ±4.5 V ~ 16.5 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width) Exposed Pad""",8-MSOP-PowerPad
AMP04804,AMP04804,http://www.ti.com/lit/ds/symlink/tle2021a.pdf,,,Digikey,296-10374-5-ND,TLE2024BMDW,TLE2024BMDW,Texas Instruments,IC OPAMP GP 2.8MHZ 16SOIC,General Purpose,4,-,0.7 V/µs,2.8MHz,-,40nA,500µV,1.05mA,40mA,"4 V ~ 40 V, ±2 V ~ 20 V",-55°C ~ 125°C,Surface Mount,"""16-SOIC (0.295"""", 7.50mm Width)""",16-SOIC
AMP04805,AMP04805,http://www.ti.com/lit/ds/symlink/ths4042.pdf,,,Digikey,296-7528-5-ND,THS4041ID,THS4041ID,Texas Instruments,IC OPAMP VFB 165MHZ 8SOIC,Voltage Feedback,1,-,400 V/µs,-,165MHz,2.5µA,2.5mV,8mA,100mA,"9 V ~ 32 V, ±4.5 V ~ 16 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP04806,AMP04806,http://www.ti.com/lit/ds/symlink/ths4012.pdf,,,Digikey,296-7509-5-ND,THS4011ID,THS4011ID,Texas Instruments,IC OPAMP VFB 290MHZ 8SOIC,Voltage Feedback,1,-,310 V/µs,290MHz,290MHz,2µA,1mV,7.8mA,110mA,"9 V ~ 32 V, ±4.5 V ~ 16 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP04807,AMP04807,http://www.ti.com/lit/ds/symlink/tle2071a.pdf,,,Digikey,296-10433-5-ND,TLE2074IDW,TLE2074IDW,Texas Instruments,IC OPAMP JFET 10MHZ 16SOIC,J-FET,4,-,45 V/µs,10MHz,-,25pA,1.6mV,6.5mA,48mA,"4.5 V ~ 38 V, ±2.25 V ~ 19 V",-40°C ~ 85°C,Surface Mount,"""16-SOIC (0.295"""", 7.50mm Width)""",16-SOIC
AMP04808,AMP04808,http://www.ti.com/lit/ds/symlink/opa334.pdf,,,Digikey,296-13459-1-ND,OPA2334AIDGST,OPA2334AIDGST,Texas Instruments,IC OPAMP CHOPPER 2MHZ 10VSSOP,Chopper (Zero-Drift),2,Rail-to-Rail,1.6 V/µs,2MHz,-,70pA,1µV,570µA,50mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-VSSOP
AMP04809,AMP04809,http://www.ti.com/lit/ds/symlink/opa734.pdf,,,Digikey,296-16769-1-ND,OPA2734AIDGST,OPA2734AIDGST,Texas Instruments,IC OPAMP CHOPPER 1.6MHZ 10VSSOP,Chopper (Zero-Drift),2,Rail-to-Rail,1.5 V/µs,1.6MHz,-,100pA,1µV,600µA,20mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""10-TFSOP, 10-MSOP (0.118"""", 3.00mm Width)""",10-VSSOP
AMP04810,AMP04810,http://www.ti.com/lit/ds/symlink/opa336-ep.pdf,,,Digikey,296-21234-1-ND,OPA336MDBVREP,OPA336MDBVREP,Texas Instruments,IC OPAMP GP 100KHZ RRO SOT23-5,General Purpose,1,Rail-to-Rail,0.03 V/µs,100kHz,-,1pA,500µV,23µA,5mA,2.3 V ~ 5.5 V,-55°C ~ 125°C,Surface Mount,"SC-74A, SOT-753",SOT-23-5
AMP04811,AMP04811,http://www.ti.com/lit/ds/symlink/opa2690.pdf,,,Digikey,296-13464-5-ND,OPA2690I-14D,OPA2690I-14D,Texas Instruments,IC OPAMP VFB 300MHZ 14SOIC,Voltage Feedback,2,-,1800 V/µs,300MHz,500MHz,5µA,1mV,11mA,190mA,"5 V ~ 12 V, ±2.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04812,AMP04812,http://www.ti.com/lit/ds/symlink/lmh6733.pdf,,,Digikey,296-37393-1-ND,LMH6733MQX/NOPB,LMH6733MQX/NOPB,Texas Instruments,IC OPAMP CFA 1GHZ 16SSOP,Current Feedback,3,-,3750 V/µs,-,1GHz,3.5µA,600µV,19.5mA,80mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""16-LSSOP (0.154"""", 3.90mm Width)""",16-SSOP
AMP04813,AMP04813,http://www.ti.com/lit/ds/symlink/tle2061a.pdf,,,Digikey,296-10408-5-ND,TLE2064AMD,TLE2064AMD,Texas Instruments,IC OPAMP JFET 2MHZ 14SOIC,J-FET,4,-,3.4 V/µs,2MHz,-,4pA,900µV,1.25mA,80mA,"7 V ~ 36 V, ±3.5 V ~ 18 V",-55°C ~ 125°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04814,AMP04814,http://www.ti.com/lit/ds/symlink/ths4271.pdf,,,Digikey,296-15405-1-ND,THS4271DRBT,THS4271DRBT,Texas Instruments,IC OPAMP VFB 400MHZ 8SON,Voltage Feedback,1,-,1000 V/µs,400MHz,1.4GHz,6µA,5mV,22mA,160mA,"5 V ~ 15 V, ±2.5 V ~ 7.5 V",-40°C ~ 85°C,Surface Mount,8-VDFN Exposed Pad,8-SON Exposed Pad (3x3)
AMP04815,AMP04815,http://www.ti.com/lit/ds/symlink/ths4271.pdf,,,Digikey,296-15406-1-ND,THS4275DRBT,THS4275DRBT,Texas Instruments,IC OPAMP VFB 400MHZ 8SON,Voltage Feedback,1,-,1000 V/µs,400MHz,1.4GHz,6µA,5mV,22mA,160mA,"5 V ~ 15 V, ±2.5 V ~ 7.5 V",-40°C ~ 85°C,Surface Mount,8-VDFN Exposed Pad,8-SON Exposed Pad (3x3)
AMP04816,AMP04816,http://www.ti.com/lit/ds/symlink/opa2695.pdf,,,Digikey,296-23388-1-ND,OPA2695IRGTT,OPA2695IRGTT,Texas Instruments,IC OPAMP CFA 1.1GHZ 16QFN,Current Feedback,2,-,2900 V/µs,-,1.1GHz,20µA,300µV,25.8mA,120mA,"3.5 V ~ 12 V, ±1.75 V ~ 6 V",-40°C ~ 85°C,Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
AMP04817,AMP04817,http://www.ti.com/lit/ds/symlink/opa2691.pdf,,,Digikey,OPA2691I-14D-ND,OPA2691I-14D,OPA2691I-14D,Texas Instruments,IC OPAMP CFA 2GHZ 14SOIC,Current Feedback,2,-,2100 V/µs,2GHz,280MHz,15µA,800µV,10.2mA,190mA,"5 V ~ 12 V, ±2.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""14-SOIC (0.154"""", 3.90mm Width)""",14-SOIC
AMP04818,AMP04818,http://www.ti.com/lit/ds/symlink/ths4121.pdf,,,Digikey,296-17555-5-ND,THS4121IDGK,THS4121IDGK,Texas Instruments,IC OPAMP DIFF 100MHZ 8VSSOP,Differential,1,Differential,55 V/µs,-,100MHz,1.2pA,3mV,11mA,100mA,"3 V ~ 3.5 V, ±1.5 V ~ 1.75 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-VSSOP
